date,pm10,SO2,NOx,rainfall
01/01/2016,46,6,19,
01/02/2016,51,7,19,
01/03/2016,54,6.1,20.7,
01/04/2016,51,8,19,
01/05/2016,47,7,19,
01/06/2016,47,5,21,253.2
01/07/2016,41,8,22,160
01/08/2016,37,5,14,118.4
01/09/2016,39,8,17,210.2
01/10/2016,48,7,23,
01/11/2016,55,7,24,
01/12/2016,60,8,27,
01/01/2017,60,7,27,
01/02/2017,64,8,26,
01/03/2017,54,8,28,
01/04/2017,54,8,27,
01/05/2017,57,8,27,
01/06/2017,42,7.4,24,215.93
01/07/2017,38,7,22,179.57
01/08/2017,64,6,23,309.75
01/09/2017,50,7,22,104.67
01/10/2017,63,7,19,
01/11/2017,54,7,20,
01/12/2017,60,7.7,26.3,
01/01/2018,67,8.1,28,0
01/02/2018,66,8,38.6,0
01/03/2018,71,7.2,31.6,4.8
01/04/2018,77,8.6,36,1.6
01/05/2018,77,8.5,40.1,17.7
01/06/2018,83,8.8,37.9,155.9
01/07/2018,75,8.6,36.8,224.1
01/08/2018,79,8.7,36.4,421.7
01/09/2018,84,8.9,38.7,46
01/10/2018,85,9.1,37.9,0.5
01/11/2018,92,9.7,44.3,
01/12/2018,88,9.6,41.8,
01/01/2019,95,10.6,55.1,
01/02/2019,90,9.2,57.8,
01/03/2019,91,10.2,54.6,
01/04/2019,90,9.9,54.8,14.6
01/05/2019,88,8.7,53.6,81.2
01/06/2019,81,8.6,46.9,33.8
01/07/2019,77,8.1,49.8,246.1
01/08/2019,84,8.4,48.5,267.1
01/09/2019,78,8,49.7,87.9
01/10/2019,86,7.1,50.8,
01/11/2019,85,6.9,52,
01/12/2019,84,6.6,48.9,
01/01/2020,88,6,49.1,
01/02/2020,84,6.4,49,
01/03/2020,83,6.1,45,
01/04/2020,80,6,20,0.6
01/05/2020,78,6.5,47.1,15.3
01/06/2020,43,8.3,37.2,219.9
01/07/2020,43,7.9,45.1,287.7
01/08/2020,33,8,26,372.5
01/09/2020,37,7.1,38.6,238
01/10/2020,49,7.4,39.9,
01/11/2020,82,6.3,49.7,
01/12/2020,98,7.4,38.6,
01/01/2021,101,6.8,47,
01/02/2021,84,6.8,38,
01/03/2021,65,7.7,36.2,
01/04/2021,54,7.9,27.6,
01/05/2021,,8,25,63.1
01/06/2021,90,8.4,34.1,251.1
01/07/2021,69,5.5,35.9,442.8
01/08/2021,67,6,35.9,192.8
01/09/2021,85,9.2,34,260.9
01/10/2021,61,7.4,31,70.1
01/11/2021,86,7.5,37.6,
01/12/2021,78,7,41.8,
01/01/2022,80,6.8,29.8,
01/02/2022,78,7.6,30.7,
01/03/2022,76,7.8,51.5,
01/04/2022,78,7.3,44.6,
01/05/2022,77,7.1,41,31.8
01/06/2022,81,7.4,45.4,157.7
01/07/2022,73,7.4,45.6,460.9
01/08/2022,56,7.4,41.5,244.1
01/09/2022,41,7,31.2,203.3
01/10/2022,57,7.4,30.9,
01/11/2022,78,8,30,
01/12/2022,112,7.1,29.1,
