date,pm10,SO2,NOx,rainfall
01/01/2016,76,7,26,
01/02/2016,72,7,19,
01/03/2016,63,7.1,21.8,
01/04/2016,73,7,20,
01/05/2016,84,8,19,
01/06/2016,68,7,22,288
01/07/2016,56,7,20,343
01/08/2016,36,7,28,142
01/09/2016,52,7,20,545
01/10/2016,61,7,22,
01/11/2016,83,6,22,
01/12/2016,84,8,30,
01/01/2017,76,8,25,
01/02/2017,79,8,27,
01/03/2017,71,8,27,
01/04/2017,72,8,28,
01/05/2017,68,8,27,
01/06/2017,61,7.1,23.6,170
01/07/2017,41,6,26,137
01/08/2017,58,6,22,199
01/09/2017,54,6,20,170
01/10/2017,62,9,24,
01/11/2017,76,7,27,
01/12/2017,78,7.2,27.3,
01/01/2018,97,7,28.5,0
01/02/2018,98,7,39.1,0
01/03/2018,80,7.1,32,4.3
01/04/2018,82,8.2,36.3,22.5
01/05/2018,81,8.5,41.2,72
01/06/2018,84,8.7,38.2,143.9
01/07/2018,70,8.6,38.8,186.1
01/08/2018,73,8.6,35.7,270.5
01/09/2018,80,8.6,38,57.3
01/10/2018,89,9.1,38.6,1
01/11/2018,96,9.6,46.7,0.5
01/12/2018,88,9.5,42.1,32.5
01/01/2019,91,10.3,54.5,
01/02/2019,91,10.1,56,
01/03/2019,92,10.2,54.6,
01/04/2019,89,10.1,54,83.1
01/05/2019,93,9.5,55.2,0
01/06/2019,86,8.6,47.6,78.3
01/07/2019,87,8.5,45.8,212.6
01/08/2019,80,8.4,47.3,359.4
01/09/2019,73,7.9,46.9,153.8
01/10/2019,85,7.4,48.4,
01/11/2019,91,7.1,50.9,
01/12/2019,87,6.6,50.5,
01/01/2020,89,6,49.2,
01/02/2020,88,6.2,51.1,
01/03/2020,74,5.9,38.1,
01/04/2020,26,6,38,53.9
01/05/2020,58,6.8,39.3,3.3
01/06/2020,56,7.1,32.2,253.6
01/07/2020,48,8.6,44.9,283.5
01/08/2020,49,7,45,880.8
01/09/2020,39,7.2,40.7,279.6
01/10/2020,54,7.2,38.1,
01/11/2020,93,6.8,53.5,
01/12/2020,93,7.4,35.2,
01/01/2021,81,6.4,42.2,
01/02/2021,88,6.9,47.4,
01/03/2021,75,7.7,36.3,
01/04/2021,71,8.9,34,
01/05/2021,45,8.5,32,25.2
01/06/2021,83,8,30.8,292.6
01/07/2021,57,5.8,28.7,377.8
01/08/2021,60,6.8,32.7,247.5
01/09/2021,55,7.3,31.2,277.5
01/10/2021,64,8.1,32.5,18.8
01/11/2021,65,8.3,34.3,
01/12/2021,69,7.3,31,
01/01/2022,73,7.1,31.8,
01/02/2022,73,8.4,31,
01/03/2022,76,8,33.1,
01/04/2022,60,7.6,34.2,
01/05/2022,77,7.8,34.2,4
01/06/2022,85,7.5,34.7,179.4
01/07/2022,47,7.2,30.2,459.9
01/08/2022,56,6.5,26.6,344.7
01/09/2022,48,7.1,29.9,166.6
01/10/2022,63,7.9,32.2,
01/11/2022,95,7.6,35,
01/12/2022,95,8.3,32.6,
