date,pm10,SO2,NOx,rainfall
1/1/2016,67,5,18,
1/2/2016,64,5,19,
1/3/2016,66,5,17,
1/4/2016,68,5,18,
1/5/2016,71,4,16,
1/6/2016,61,4,15,201.2
1/7/2016,57,4,17,352.6
1/8/2016,58,5,18,185.4
1/9/2016,56,5,18,445
1/10/2016,64,6,22,
1/11/2016,60,5,21,
1/12/2016,62,5,21,
1/1/2017,61,4.9,20,
1/2/2017,62,5,20,
1/3/2017,63,5,21,
1/4/2017,67,5,20,
1/5/2017,68,5,20,
1/6/2017,63,5,20,139.3
1/7/2017,57,5,21,125.75
1/8/2017,59,5,21,262.25
1/9/2017,60,5,21,78.15
1/10/2017,59,5,21,
1/11/2017,59,6,21,
1/12/2017,59,6,22,
1/1/2018,61,6,22.4,0
1/2/2018,61,6,22.4,0
1/3/2018,66,6,22.2,8
1/4/2018,70,5.9,21.8,3
1/5/2018,47,5.9,22.6,63.5
1/6/2018,64,5.9,22.3,216.3
1/7/2018,59,5.9,22.5,239
1/8/2018,60,5.7,22.4,360.3
1/9/2018,64,5.6,23.1,35.1
1/10/2018,48,5.8,23.6,0
1/11/2018,56,6.2,25,
1/12/2018,62,5.6,24.6,
1/1/2019,64,5.5,24.3,
1/2/2019,61,5.6,24.9,
1/3/2019,61,5.6,24.4,
1/4/2019,62,5.6,23.4,0
1/5/2019,64,5.5,25,0
1/6/2019,64,5.7,26,90.8
1/7/2019,64,5.4,25.6,431.9
1/8/2019,65,4.8,24.4,282.2
1/9/2019,61,4.4,23.5,140.1
1/10/2019,64,4.8,25.2,
1/11/2019,62,4.6,24.7,
1/12/2019,63,5.4,25.9,
1/1/2020,60,5.5,27.3,
1/2/2020,60,5.5,26.6,
1/3/2020,,,,
1/4/2020,,,,3
1/5/2020,,,,18.5
1/6/2020,52,4.9,24.1,180.3
1/7/2020,63,5.2,25.8,146.8
1/8/2020,60,4.7,22.2,313.7
1/9/2020,60,5.4,24.8,202.4
1/10/2020,62,5.2,24.7,
1/11/2020,,6.1,25.9,
1/12/2020,71,6,26.4,
1/1/2021,68,5.8,24.7,
1/2/2021,67,5.1,23.4,
1/3/2021,66,5.7,24.8,
1/4/2021,67,5.3,25.1,
1/5/2021,60,6,26,64.3
1/6/2021,,,,135.1
1/7/2021,54,5.7,24.8,495.1
1/8/2021,45,5.3,22.4,187.7
1/9/2021,43,5,23.1,395.9
1/10/2021,59,6.2,27.3,19
1/11/2021,66,6.4,26.7,
1/12/2021,57,5.8,25.5,
1/1/2022,56,6.9,25.5,
1/2/2022,59,7.5,27.5,
1/3/2022,64,6.6,26.1,
1/4/2022,58,7.8,24,
1/5/2022,56,7.3,24.6,35.7
1/6/2022,52,6,23.4,69.7
1/7/2022,46,5.5,21.3,844.8
1/8/2022,52,6.7,23.3,130.7
1/9/2022,51,7.9,25,242.3
1/10/2022,61,8.6,27.4,
1/11/2022,56,6.8,25,
1/12/2022,60,7.5,22.6,
