Date,temp_max,rainfall,pressure
01/01/1991,30.46,0.01,97.55
02/01/1991,30.76,0.35,97.51
03/01/1991,26.81,0.04,97.72
04/01/1991,28.19,0,97.89
05/01/1991,28.84,0,97.88
06/01/1991,29.74,0,97.82
07/01/1991,30.43,0,97.84
08/01/1991,31.57,0,97.83
09/01/1991,31.2,0,97.77
10/01/1991,31.71,0,97.73
11/01/1991,32.2,0,97.75
12/01/1991,32.51,0,97.82
13/01/1991,31.98,0,97.81
14/01/1991,31.99,0,97.82
15/01/1991,31.56,0,97.89
16/01/1991,31.65,0,97.99
17/01/1991,31.43,0,98.06
18/01/1991,28.45,0,98.01
19/01/1991,32.1,0,97.82
20/01/1991,32.2,0,97.87
21/01/1991,32.68,0,97.91
22/01/1991,33.19,0,97.89
23/01/1991,33.15,0,97.87
24/01/1991,33.58,0,97.86
25/01/1991,32.93,0,98.04
26/01/1991,33.54,0,98.1
27/01/1991,34.05,0,98.06
28/01/1991,34.71,0,97.88
29/01/1991,34.62,0,97.69
30/01/1991,33.98,0,97.78
31/01/1991,33.96,0,97.85
01/02/1991,34.57,0,97.76
02/02/1991,34.92,0,97.57
03/02/1991,34.96,0,97.62
04/02/1991,34.12,0,97.8
05/02/1991,34.47,0,97.87
06/02/1991,34.53,0,97.96
07/02/1991,34.69,0,97.87
08/02/1991,35.51,0,97.85
09/02/1991,36.69,0,97.95
10/02/1991,36.95,0,97.85
11/02/1991,37.72,0,97.59
12/02/1991,37.54,0,97.55
13/02/1991,37.99,0,97.64
14/02/1991,36.91,0,97.77
15/02/1991,37.15,0,97.72
16/02/1991,38.07,0,97.57
17/02/1991,37.52,0,97.57
18/02/1991,36.63,0,97.65
19/02/1991,36.76,0,97.7
20/02/1991,36.26,0,97.78
21/02/1991,36.15,0,97.98
22/02/1991,36.18,0,98.08
23/02/1991,37.07,0,98
24/02/1991,37.26,0,97.98
25/02/1991,37.01,0,97.94
26/02/1991,36.78,0,97.77
27/02/1991,36.41,0,97.74
28/02/1991,35.33,0,97.71
01/03/1991,37.8,0,97.61
02/03/1991,37.81,0,97.77
03/03/1991,37.97,0,97.78
04/03/1991,37.65,0,97.68
05/03/1991,38.48,0,97.57
06/03/1991,39.02,0,97.45
07/03/1991,39.39,0,97.4
08/03/1991,39.07,0,97.5
09/03/1991,38.46,0.24,97.54
10/03/1991,39.61,0,97.49
11/03/1991,39.97,0,97.37
12/03/1991,40.83,0,97.34
13/03/1991,40.99,0,97.35
14/03/1991,39.72,0,97.45
15/03/1991,39.86,0,97.49
16/03/1991,39.55,0,97.54
17/03/1991,40.41,0,97.65
18/03/1991,41.41,0,97.58
19/03/1991,41.79,0,97.43
20/03/1991,42.12,0,97.2
21/03/1991,41.02,0,97.23
22/03/1991,38.74,0,97.27
23/03/1991,40.62,0,97.16
24/03/1991,40.76,0,97.19
25/03/1991,40.28,0,97.19
26/03/1991,40.4,0,97.2
27/03/1991,40.47,0,97.32
28/03/1991,41.08,0,97.52
29/03/1991,42.26,0,97.53
30/03/1991,43.12,0,97.32
31/03/1991,43.4,0,97.17
01/04/1991,41.51,0,97.24
02/04/1991,42.22,0,97.42
03/04/1991,40.83,0,97.55
04/04/1991,39.6,0,97.58
05/04/1991,35.91,0,97.63
06/04/1991,36.55,0,97.53
07/04/1991,38.59,0,97.43
08/04/1991,40,0,97.26
09/04/1991,40.78,0,97.2
10/04/1991,41.01,0,97.13
11/04/1991,41.52,0,97.05
12/04/1991,41.23,0.01,97.08
13/04/1991,41.27,0,97.21
14/04/1991,38.89,0,97.36
15/04/1991,42.82,0,97.2
16/04/1991,41.78,0,97.1
